n,w,time,res
0,100,81,0
1,100,81,14
2,100,119,60
3,100,135,60
4,100,180,128
5,100,274,176
6,100,295,176
7,100,399,176
8,100,553,229
9,100,582,229
10,100,614,229
11,100,1075,256
12,100,1308,256
13,100,1327,256
14,100,1737,295
15,100,2212,295
16,100,2401,295
17,100,2798,295
18,100,2908,295
19,100,3181,295
20,100,3540,295
21,100,4484,371
22,100,4820,371
23,100,5214,371
24,100,5624,371
25,100,7327,371
26,100,7409,371
27,100,9744,372
28,100,9796,372
29,100,10033,390
30,100,155564,390
31,100,9022,390
32,100,10021,390
33,100,10250,390
34,100,12417,390
35,100,12587,390
36,100,13739,390
37,100,79742,420
38,100,19779,420
39,100,19623,420
40,100,19637,420
41,100,20257,420
42,100,23150,475
43,100,139686,475
44,100,24465,475
45,100,23851,475
46,100,27896,478
47,100,32022,478
48,100,36099,478
49,100,36990,478
50,100,101589,478
51,100,46797,478
52,100,58162,478
53,100,269784,519
54,100,73582,519
55,100,243959,519
56,100,90469,519
57,100,82599,519
58,100,157270,519
59,100,102049,519
60,100,100701,519
61,100,179378,519
62,100,307974,561
63,100,203692,632
64,100,232591,632
65,100,249396,632
66,100,202572,632
67,100,306529,643
68,100,310586,643
69,100,314231,643
70,100,326622,643
71,100,337260,643
72,100,334098,643
73,100,325317,643
74,100,446765,666
75,100,550517,666
76,100,1248266,666
77,100,1209718,666
78,100,732058,666
79,100,1052837,675
80,100,976382,675
81,100,1110400,675
82,100,1226651,675
83,100,1430423,765
84,100,1491006,765
85,100,1533996,765
86,100,1821521,797
87,100,2211832,797
88,100,3020822,797
89,100,3317774,797
90,100,3211279,797
91,100,3607786,797
92,100,3478551,797
93,100,3644968,797
94,100,3469185,797
95,100,3916981,797
96,100,3965980,797
97,100,4075522,797
98,100,4119363,797
99,100,4020392,797
