n,BT,DP
0,81,176
1,81,1215
2,119,1973
3,135,2749
4,180,4393
5,274,4527
6,295,5406
7,399,24173
8,553,7108
9,582,9454
10,614,8824
11,1075,9961
12,1308,10391
13,1327,11052
14,1737,12363
15,2212,11460
16,2401,12265
17,2798,12854
18,2908,13535
19,3181,78352
20,3540,14947
21,4484,15832
22,4820,16236
23,5214,20730
24,5624,17550
25,7327,18763
26,7409,20642
27,9744,21106
28,9796,182336
29,10033,21646
30,155564,22058
31,9022,23154
32,10021,24441
33,10250,65063
34,12417,25178
35,12587,25142
36,13739,26676
37,79742,27269
38,19779,27680
39,19623,28189
40,19637,30290
41,20257,96610
42,23150,244967
43,139686,33623
44,24465,33545
45,23851,33867
46,27896,34749
47,32022,36819
48,36099,36943
49,36990,182438
50,101589,38054
51,46797,121227
52,58162,39291
53,269784,40704
54,73582,40746
55,243959,42754
56,90469,48263
57,82599,55134
58,157270,46646
59,102049,46952
60,100701,46158
61,179378,50510
62,307974,106164
63,203692,50168
64,232591,48060
65,249396,50430
66,202572,54604
67,306529,57988
68,310586,57453
69,314231,53813
70,326622,53854
71,337260,54227
72,334098,58654
73,325317,69606
74,446765,68037
75,550517,73832
76,1248266,76756
77,1209718,67784
78,732058,62345
79,1052837,71739
80,976382,60386
81,1110400,63570
82,1226651,65086
83,1430423,65938
84,1491006,73616
85,1533996,66951
86,1821521,67609
87,2211832,68631
88,3020822,69633
89,3317774,71955
90,3211279,70210
91,3607786,73732
92,3478551,75714
93,3644968,74256
94,3469185,73215
95,3916981,73158
96,3965980,77145
97,4075522,76872
98,4119363,71436
99,4020392,82502
